Taxa,Library,cheddar.cat,cheddar.fg,ppt_slide_grouping,Gen_descriptor,Detail_descriptor,RRC_group1,RCC_group2,RCC_group3,Func_feed_grp,Trophic_level,Reference
Chamaesiphon,16S,producer,producer,Autotroph_bac,Bacteria,Bacteria,None,None,None,Microorganism,PrimaryProducer,Newton et al 2011
Leptolyngbya,16S,producer,producer,Autotroph_bac,Bacteria,Bacteria,None,None,None,Microorganism,PrimaryProducer,Newton et al 2011
Nitrospira,16S,producer,producer,Autotroph_bac,Bacteria,Bacteria,None,None,None,Microorganism,PrimaryProducer,Newton et al 2011
Planktothrix,16S,producer,producer,Autotroph_bac,Bacteria,Bacteria,None,None,None,Microorganism,PrimaryProducer,Newton et al 2011
Roseiflexus,16S,producer,producer,Autotroph_bac,Bacteria,Bacteria,None,None,None,Microorganism,PrimaryProducer,Newton et al 2011
Synechococcus,16S,producer,producer,Autotroph_bac,Bacteria,Bacteria,None,None,None,Microorganism,PrimaryProducer,Newton et al 2011
Antocha,COI,invertebrate,herbivore,Collector_Filterer,Diptera,Crane fly,GathererCollector,GathererCollector,GathererCollector,Gatherer,PrimaryConsumer,0
Asellus,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,Hoglouse,GathererCollector,GathererCollector,None,Gatherer,PrimaryConsumer,"Eder, E., Hödl, W., Moog., O., Nesemann, H., Pöckl M. & Wittmann, K. (1995): Crustacea (authors depending on taxagroup). In: Moog, O. (Ed.): Fauna Aquatica Austriaca, Lieferungen 1995, 2002. Wasserwirtschaftskataster, Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, Wien."
Caenis,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,Mayfly,GathererCollector,GathererCollector,GathererCollector,Gatherer,PrimaryConsumer,Merritt wt al 2008
Chironomus,COI,invertebrate,herbivore,Collector_Filterer,Diptera,Bloodworm,GathererCollector,GathererCollector,GathererCollector,Gatherer,PrimaryConsumer,"Janecek, B.F.U., Moog, O., Moritz, C., Orendt, C. & Saxl, R. (2002): Chironomidae (authors depending on subfamily). In: Moog, O. (Ed.): Fauna Aquatica Austriaca, Lieferung 2002. Wasserwirtschaftskataster, Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, Wien."
Dero,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,Worm,GathererCollector,GathererCollector,None,Gatherer,PrimaryConsumer,0
Eiseniella,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,worm,GathererCollector,GathererCollector,None,Gatherer,PrimaryConsumer,"Hörner, K., Moog, O. & Sporka, F. (1995): Oligochaeta. In: Moog, O. (Ed.): Fauna Aquatica Austriaca, Lieferungen 1995, 2002. Wasserwirtschaftskataster, Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, Wien."
Ephemera,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,Mayfly,GathererCollector,GathererCollector,GathererCollector,Gatherer,PrimaryConsumer,"AQEM expert consortium (2002): Ecological classifications by AQEM expert consortium, www.aqem.de"
Habroleptoides,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,Mayfly,GathererCollector,GathererCollector,GathererCollector,Gatherer,PrimaryConsumer,"Bauernfeind, E., Moog, O. & Weichselbaumer, P. (2002): Ephemeroptera. In: Moog, O. (ed.): Fauna Aquatica Austriaca, delivery 2002, water management cadastre, Federal Ministry of Agriculture, Forestry, Environment and Water Management, Vienna."
Habrophlebia,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,Mayfly,GathererCollector,GathererCollector,GathererCollector,Gatherer,PrimaryConsumer,"AQEM expert consortium (2002): Ecological classifications by AQEM expert consortium, www.aqem.de"
Hydropsyche,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,Caddisfly,CollectorFilter,CollectorFilter,CollectorFilter,FilterFeeder,PrimaryConsumer,"Graf, W., Grasser, U. & Waringer, J. (2002): Trichoptera. In: Moog, O. (ed.): Fauna Aquatica Austriaca, Lieferung 2002. Wasserwirtschaftskataster, Bundesministerium für Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, Wien."
Hydroptila,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,Caddisfly,GathererCollector,GathererCollector,GathererCollector,Gatherer,PrimaryConsumer,"Graf, W., Grasser, U. & Waringer, J. (2002): Trichoptera. In: Moog, O. (ed.): Fauna Aquatica Austriaca, Lieferung 2002. Wasserwirtschaftskataster, Bundesministerium für Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, Wien."
Leuctra,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,Stonefly,GathererCollector,GathererCollector,GathererCollector,Gatherer,PrimaryConsumer,"Graf, W., Grasser, U. & Weinzierl, A. (2002): Plecoptera. In: Moog, O. (ed.): Fauna Aquatica Austriaca, delivery 2002. Water management cadastre, Federal Ministry of Agriculture, Forestry, Environment and Water Management, Vienna."
Limnodrilus,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,Worm,GathererCollector,GathererCollector,None,Gatherer,PrimaryConsumer,"Hörner, K., Moog, O. & Sporka, F. (1995): Oligochaeta. In: Moog, O. (Ed.): Fauna Aquatica Austriaca, Lieferungen 1995, 2002. Wasserwirtschaftskataster, Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, Wien."
Limnophyes,COI,invertebrate,herbivore,Collector_Filterer,Diptera,Bloodworm,GathererCollector,GathererCollector,GathererCollector,Gatherer,PrimaryConsumer,0
Lumbricillus,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,Worm,GathererCollector,GathererCollector,None,Gatherer,PrimaryConsumer,"Hörner, K., Moog, O. & Sporka, F. (1995): Oligochaeta. In: Moog, O. (Ed.): Fauna Aquatica Austriaca, Lieferungen 1995, 2002. Wasserwirtschaftskataster, Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, Wien."
Micropsectra,COI,invertebrate,herbivore,Collector_Filterer,Diptera,Bloodworm,GathererCollector,GathererCollector,GathererCollector,Gatherer,PrimaryConsumer,"Janecek, B.F.U., Moog, O., Moritz, C., Orendt, C. & Saxl, R. (2002): Chironomidae (authors depending on subfamily). In: Moog, O. (Ed.): Fauna Aquatica Austriaca, Lieferung 2002. Wasserwirtschaftskataster, Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, Wien."
Ophidonais,COI,invertebrate,herbivore,Collector_Filterer,Invertebrate,Worm,GathererCollector,GathererCollector,None,Gatherer,PrimaryConsumer,"Hörner, K., Moog, O. & Sporka, F. (1995): Oligochaeta. In: Moog, O. (Ed.): Fauna Aquatica Austriaca, Lieferungen 1995, 2002. Wasserwirtschaftskataster, Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, Wien."
Orthocladius,COI,invertebrate,herbivore,Collector_Filterer,Diptera,Bloodworm,CollectorFilter,CollectorFilter,CollectorFilter,FilterFeeder,PrimaryConsumer,"Janecek, BFU, Moog, O., Moritz, C., Orendt, C. & Saxl, R. (2002): Chironomidae (authors depending on subfamily). In: Moog, O. (Ed.): Fauna Aquatica Austriaca, delivery 2002. Water management cadastre, Federal Ministry of Agriculture, Forestry, Environment and Water Management, Vienna."
