consumer,resource
Antocha,Detritus
Antocha,Acanthocyclops
Antocha,Chaetonotus
Antocha,Chydorus
Antocha,Cyclops
Antocha,Cypridopsis
Antocha,Euchlanis
Antocha,Eucyclops
Antocha,Isohypsibius
Antocha,Keratella
Antocha,Polyarthra
Antocha,Thermocyclops
Antocha,12up
Antocha,Acetobacteroides
Antocha,Acholeplasma
Antocha,Achromobacter
Antocha,Acidibacter
Antocha,Acidiphilium
Antocha,Acidovorax
Antocha,Acinetobacter
Antocha,Actinoplanes
Antocha,Aeromonas
Antocha,Aetherobacter
Antocha,AKYG587
Antocha,Algoriphagus
Antocha,Alistipes
Antocha,Alkanindiges
Antocha,Alloprevotella
Antocha,Altererythrobacter
Antocha,Anaerocella
Antocha,Aquabacterium
Antocha,Aquaspirillum
Antocha,Aquicella
Antocha,Aquimonas
Antocha,Arcicella
Antocha,Arcobacter
Antocha,Arenimonas
Antocha,Armatimonas
Antocha,Asaia
Antocha,Asticcacaulis
Antocha,Azospirillum
Antocha,Bacillus
Antocha,Bacteriovorax
Antocha,Bacteroides
Antocha,Bauldia
Antocha,Bdellovibrio
Antocha,Beggiatoa
Antocha,Bifidobacterium
Antocha,Blastocatella
Antocha,Blautia
Antocha,Bosea
Antocha,Brevundimonas
Antocha,Bryobacter
Antocha,BSV13
Antocha,Catenibacterium
Antocha,Caulobacter
Antocha,Cellvibrio
Antocha,Chitinibacter
Antocha,Chitinimonas
Antocha,Chitinivorax
Antocha,Chitinophaga
Antocha,Chroococcidiopsis
Antocha,Chryseobacterium
Antocha,Chryseolinea
Antocha,Chthoniobacter
Antocha,Cloacibacterium
Antocha,Collinsella
Antocha,Comamonas
Antocha,Corynebacterium_1
Antocha,Coxiella
Antocha,Crenothrix
Antocha,Crocinitomix
Antocha,Cytophaga
Antocha,Deefgea
Antocha,Deinococcus
Antocha,Delftia
Antocha,Devosia
Antocha,Dickeya
Antocha,Dietzia
Antocha,Dinghuibacter
Antocha,Dongia
Antocha,Duganella
Antocha,Dyadobacter
Antocha,Dysgonomonas
Antocha,Elstera
Antocha,Emticicia
Antocha,Enhydrobacter
Antocha,Erysipelothrix
Antocha,Euglenaria_anabaena
Antocha,Exiguobacterium
Antocha,Facklamia
Antocha,Faecalibacterium
Antocha,Fastidiosipila
Antocha,Ferruginibacter
Antocha,Fibrella
Antocha,Filimonas
Antocha,Flavihumibacter
Antocha,Flavitalea
Antocha,Flavobacterium
Antocha,Flectobacillus
Antocha,Fluviicoccus
Antocha,Fluviicola
Antocha,Fluviimonas
Antocha,Fodinicola
Antocha,Fusibacter
Antocha,Fusobacterium
Antocha,Gaiella
Antocha,Gemmata
Antocha,Gemmatimonas
Antocha,Geobacter
Antocha,GKS98_freshwater_group
Antocha,Granulicella
Antocha,H16
Antocha,Haematospirillum
Antocha,Haliangium
Antocha,Haliea
Antocha,Halioglobus
Antocha,Haliscomenobacter
Antocha,Haloferula
Antocha,Halomonas
Antocha,Herpetosiphon
Antocha,hgcI_clade
Antocha,Hirschia
Antocha,Holdemanella
Antocha,Hydrogenophaga
Antocha,Hymenobacter
Antocha,Hyphomicrobium
Antocha,Iamia
Antocha,Ilumatobacter
Antocha,Iodobacter
Antocha,Kurthia
Antocha,Lachnoclostridium
Antocha,Lacibacter
Antocha,Lactobacillus
Antocha,Lactococcus
Antocha,Leadbetterella
Antocha,Leeia
Antocha,Legionella
Antocha,Leptothrix
Antocha,Leptotrichia
Antocha,Leucobacter
Antocha,Limnobacter
Antocha,Limnohabitans
Antocha,Luteimonas
Antocha,Luteolibacter
Antocha,Lysobacter
Antocha,Macellibacteroides
Antocha,Magnetospirillum
Antocha,Marinospirillum
Antocha,Massilia
Antocha,Megamonas
Antocha,Meganema
Antocha,Merismopedia
Antocha,Mesorhizobium
Antocha,Methanogenium
Antocha,Methylobacterium
Antocha,Methyloparacoccus
Antocha,Methylophilus
Antocha,Methylotenera
Antocha,Microbacterium
Antocha,Microcoleus
Antocha,Mucilaginibacter
Antocha,Mycobacterium
Antocha,Nakamurella
Antocha,Nannocystis
Antocha,Nevskia
Antocha,Niveispirillum
Antocha,Nocardioides
Antocha,Novosphingobium
Antocha,Oleiphilus
Antocha,Oligoflexus
Antocha,Oligosphaera
Antocha,OM27_clade
Antocha,Opitutus
Antocha,Paenibacillus
Antocha,Paludibacter
Antocha,Paludibaculum
Antocha,Parabacteroides
Antocha,Parafilimonas
Antocha,Parasediminibacterium
Antocha,Parasegetibacter
Antocha,Pedobacter
Antocha,Pedomicrobium
Antocha,Pelosinus
Antocha,Peredibacter
Antocha,Perlucidibaca
Antocha,Petrimonas
Antocha,Phacotus_lenticularis
Antocha,Phaeodactylibacter
Antocha,Phascolarctobacterium
Antocha,Phaselicystis
Antocha,Phenylobacterium
Antocha,Phormidium
Antocha,Phycisphaera
Antocha,Pir4_lineage
Antocha,Pirellula
Antocha,Planctomyces
Antocha,Pleurocapsa
Antocha,Polaromonas
Antocha,Polyangium
Antocha,Polymorphobacter
Antocha,Polynucleobacter
Antocha,Prevotella_9
Antocha,Propionivibrio
Antocha,Prosthecobacter
Antocha,Proteiniclasticum
Antocha,Proteiniphilum
Antocha,Pseudarcicella
Antocha,Pseudendoclonium_akinetum
Antocha,Pseudohongiella
Antocha,Pseudomonas
Antocha,Pseudorhodoferax
Antocha,Pseudoxanthomonas
Antocha,Psychrobacter
Antocha,Reyranella
